india_date,india_open,close_30,high_30,low_30,vol_30,ret_30,dir_30,close_60,high_60,low_60,vol_60,ret_60,dir_60,prev_close,gap_pct,gap_dir,SP500_ret,SP500_dir,NASDAQ_ret,NASDAQ_dir,DOW_ret,DOW_dir,NIKKEI_ret,NIKKEI_dir,HANGSENG_ret,HANGSENG_dir,SHANGHAI_ret,SHANGHAI_dir,KOSPI_ret,KOSPI_dir,FTSE_ret,FTSE_dir,DAX_ret,DAX_dir,CAC_ret,CAC_dir,ASX200_ret,ASX200_dir,SGX_NIFTY_ret,SGX_NIFTY_dir,global_ref_date,composite,sentiment
2023-03-28,17031.75,16986.2,17061.5,16981.65,0.0,-0.0026744168978524974,-1.0,16992.5,17061.5,16971.35,0.0,-0.002304519500344944,-1.0,16985.69921875,0.0027111501656149626,1.0,0.0016469543057482383,1.0,-0.0046617307035543565,-1.0,0.006034915996768309,1.0,0.003345565244976756,1.0,-0.017473178914070187,-1.0,-0.004363603088552992,-1.0,-0.002376846956976708,-1.0,0.008952778973398079,1.0,0.01139577404427361,1.0,0.009004849680777305,1.0,0.0009776576513329527,1.0,0.007726269315673218,1.0,2023-03-27,-0.04762261495074186,Neutral
2023-03-29,16977.3,17015.2,17022.2,16977.3,0.0,0.0022323926655004895,1.0,17016.45,17032.7,16977.3,0.0,0.0023060203919351993,1.0,16951.69921875,0.001510219177419256,1.0,-0.0015738434957162095,-1.0,-0.004483004809774704,-1.0,-0.0011664400813599096,-1.0,0.0015060252739573787,1.0,0.011087713652638165,1.0,-0.0018515161813563719,-1.0,0.010675642330666424,1.0,0.001672957028661104,1.0,0.0009479209003777633,1.0,0.001422639174680329,1.0,0.01035623350420134,1.0,-0.0034684191310697665,-1.0,2023-03-28,0.02787416000636735,Neutral
2023-03-31,17210.35,17278.25,17289.1,17209.45,0.0,0.003945300357052673,1.0,17256.9,17289.1,17209.45,0.0,0.00270476777055684,1.0,17080.69921875,0.007590484416918774,1.0,0.005715269388667954,1.0,0.007314081426607499,1.0,0.004322800031591356,1.0,-0.0036167840916134786,-1.0,0.0057809109611453025,1.0,0.006539984143209665,1.0,0.0037808072808236393,1.0,0.0074164296900931515,1.0,0.012631149624019011,1.0,0.010627520049655725,1.0,0.010212331673062902,1.0,0.005025125628140614,1.0,2023-03-30,-0.07903260719342375,Bearish
2023-04-03,17427.95,17358.1,17427.95,17325.8,0.0,-0.0040079297909393925,-1.0,17367.9,17427.95,17325.8,0.0,-0.0034456146592111675,-1.0,17359.75,0.00392862800443559,1.0,0.014436542471763847,1.0,0.017350560198826193,1.0,0.012633275288661983,1.0,0.009306102133869842,1.0,0.0044796853324229335,1.0,0.00356001760732072,1.0,0.00966108862105175,1.0,0.001482900256359887,1.0,0.006857151629028113,1.0,0.00812570729276052,1.0,0.007792426817454734,1.0,0.009642857142857064,1.0,2023-03-31,-0.08654749557498771,Bearish
2023-04-05,17422.3,17457.95,17473.15,17412.15,0.0,0.0020462281099511235,1.0,17491.65,17492.5,17412.15,0.0,0.003980530699161545,1.0,17398.05078125,0.0013937893994500133,0.0,-0.005796972083329965,-1.0,-0.00517825793420712,-1.0,-0.005915557666718474,-1.0,0.003521675948025882,1.0,-0.00659457390305751,-1.0,0.004902365225320615,1.0,0.0033045299532277195,1.0,-0.0050175941613449515,-1.0,0.0014472704307941786,1.0,-0.00013612924727568476,-1.0,0.0017998061747197536,1.0,-0.004067916519278403,-1.0,2023-04-04,0.052380801698159604,Bullish
2023-04-06,17533.85,17533.2,17543.95,17512.25,0.0,-3.707115094504728e-05,-1.0,17588.5,17600.55,17503.6,0.0,0.003116828306390294,1.0,17557.05078125,-0.0013214509395153462,0.0,-0.002492370531228194,-1.0,-0.010676744384193637,-1.0,0.0024052132327307962,1.0,-0.016762227080431846,-1.0,-0.00659457390305751,-1.0,0.004902365225320615,1.0,0.005926180952305016,1.0,0.003719942673881649,1.0,-0.00533854367953146,-1.0,-0.003902016675709996,-1.0,0.00016586447104760538,1.0,-0.014029479666133882,-1.0,2023-04-05,0.04750965006681098,Bullish
2023-04-10,17634.9,17650.9,17656.2,17608.9,0.0,0.0009072917907104661,1.0,17630.0,17660.45,17608.9,0.0,-0.0002778581109051628,-1.0,17599.150390625,0.002031325864119278,1.0,0.0035791630944272956,1.0,0.007593620889580155,1.0,7.67653463027429e-05,1.0,0.0016627343676629547,1.0,0.002792134165784388,1.0,0.004534167734578709,1.0,0.01267873760821736,1.0,0.010270288835226626,1.0,0.005007659513634355,1.0,0.0011549820999798843,1.0,-0.002514811642807424,-1.0,-0.002341498559077837,-1.0,2023-04-06,-0.0674638015317415,Bearish
2023-04-11,17704.8,17704.0,17716.55,17669.0,0.0,-4.518548642172023e-05,-1.0,17741.55,17748.6,17669.0,0.0,0.002075708282499661,1.0,17624.05078125,0.004581762714614243,1.0,0.0009963029974375814,1.0,-0.00029778468712937656,-1.0,0.0030231325929739317,1.0,0.004191740229783081,1.0,0.002792134165784388,1.0,-0.0036932355513779047,-1.0,0.008701445456932966,1.0,0.010270288835226626,1.0,0.005007659513634355,1.0,0.0011549820999798843,1.0,-0.002514811642807424,-1.0,0.008124210146235766,1.0,2023-04-10,-0.07651936094276265,Bearish
2023-04-12,17759.55,17763.75,17779.4,17717.8,0.0,0.0002364924786946025,1.0,17751.55,17779.4,17717.8,0.0,-0.0004504618641801172,-1.0,17722.30078125,0.0021018274776945746,1.0,-4.1352477946232646e-05,-1.0,-0.004342842088717935,-1.0,0.0029258622989669636,1.0,0.010483916453227327,1.0,0.007576582864966319,1.0,-0.0005399229659827087,-1.0,0.014243188188324485,1.0,0.005696509390817228,1.0,0.0036723091859569568,1.0,0.008946351091334126,1.0,0.012591758185863666,1.0,0.005909742120343786,1.0,2023-04-11,-0.031011638905017836,Neutral
2023-04-13,17807.3,17798.8,17827.25,17771.4,0.0,-0.0004773323299994946,-1.0,17792.4,17827.25,17771.4,0.0,-0.0008367354961166386,-1.0,17812.400390625,-0.0002863393205379079,0.0,-0.004134884052006904,-1.0,-0.008522362262689986,-1.0,-0.00113668702003622,-1.0,0.005705976142155178,1.0,-0.00856132793017994,-1.0,0.004107311147939274,1.0,0.001091027387317034,1.0,0.005021977265261324,1.0,0.0030935267864662386,1.0,0.0009012048858254573,1.0,0.004651226481103832,1.0,-0.0033825885704112935,-1.0,2023-04-12,0.02787416000636735,Neutral
