Date,Quarter,P(win),DTE,Lots,Entry,Exit,PnL(pts),Trade PnL,Capital,DD%,Reason
2025-07-02,2025Q3,0.611,1,25,56.4,90.24,33.84,63121.6,263121.6,0.0,Target Hit
2025-09-04,2025Q3,0.668,5,25,68.85,61.96,-6.89,-13196.11,249925.49,5.02,Stop Loss
2025-11-19,2025Q4,0.638,6,25,109.25,98.33,-10.92,-20887.45,229038.04,12.95,Stop Loss
2025-12-17,2025Q4,0.606,6,25,78.7,125.92,47.22,88097.92,317135.96,0.0,Target Hit
2026-01-20,2026Q1,0.587,0,10,29.75,26.78,-2.97,-2314.49,314821.47,0.73,Stop Loss
2026-01-22,2026Q1,0.708,5,25,109.15,98.24,-10.91,-20868.36,293953.11,7.31,Stop Loss
2026-02-03,2026Q1,0.987,0,10,113.1,101.79,-11.31,-8680.94,285272.17,10.05,Stop Loss
2026-03-05,2026Q1,0.75,5,17,211.4,190.26,-21.14,-27481.28,257790.89,18.71,Stop Loss
2026-03-10,2026Q1,0.915,0,10,65.6,59.04,-6.56,-5054.92,252735.97,20.31,Stop Loss
2026-03-20,2026Q1,0.912,4,16,210.35,189.31,-21.04,-25745.26,226990.71,28.42,Stop Loss
2026-03-24,2026Q1,0.909,0,10,79.5,71.55,-7.95,-6116.01,220874.7,30.35,Stop Loss
