date,win,exit_reason,entry_prem,exit_prem,dte,Gap Up,Gap Up Strong,Gap Down,Prev India UP,Prev India DOWN,US UP,US DOWN,SGX UP,SGX DOWN,DAX UP,VIX Rising,VIX Falling,VIX Spike
2025-12-18,False,Stop Loss,74.85,67.36,5,False,False,True,False,True,False,True,False,True,False,True,False,True
2025-12-19,False,Stop Loss,66.7,60.03,4,True,False,False,False,True,True,False,True,False,True,False,True,False
2025-12-23,False,Stop Loss,26.95,24.25,0,False,False,False,True,False,True,False,False,True,False,False,True,False
2025-12-24,False,Stop Loss,68.4,61.56,6,False,False,False,True,False,True,False,True,False,True,False,True,False
2025-12-26,False,11:15 exit,59.1,80.59,4,False,False,False,False,True,False,False,True,False,False,False,False,False
2025-12-30,False,Stop Loss,21.0,18.9,0,False,False,False,False,True,False,True,False,True,True,True,False,False
2025-12-31,False,Stop Loss,67.59,60.83,6,False,False,False,False,True,False,True,False,True,True,False,False,False
2026-01-01,False,Stop Loss,57.55,51.8,5,True,False,False,True,False,False,True,False,True,False,True,False,False
2026-01-02,False,Stop Loss,45.55,40.99,4,False,False,False,True,False,False,True,False,True,False,True,False,False
2026-01-06,False,Stop Loss,21.4,19.26,0,False,False,True,False,True,True,False,True,False,True,False,False,False
2026-01-07,False,Stop Loss,73.5,66.15,6,False,False,False,False,True,True,False,False,True,True,False,True,False
2026-01-08,True,Target Hit,60.95,97.52,5,False,False,False,False,True,False,True,False,True,True,True,False,False
2026-01-09,False,Stop Loss,51.0,45.9,4,False,False,False,False,True,True,False,True,False,True,False,False,False
2026-01-13,True,Target Hit,43.25,69.2,0,True,False,False,True,False,True,False,True,False,True,True,False,False
2026-01-14,False,Stop Loss,101.2,91.08,6,False,False,True,False,True,False,True,True,False,True,True,False,True
2026-01-16,False,Stop Loss,72.5,65.25,4,False,False,False,False,True,True,False,False,True,True,False,True,False
2026-01-20,False,Stop Loss,29.75,26.78,0,False,False,False,False,True,False,False,False,True,False,False,False,False
2026-01-21,False,Stop Loss,103.4,93.06,6,False,False,True,False,True,False,True,False,True,False,True,False,True
2026-01-22,False,Stop Loss,109.15,98.24,5,True,True,False,False,True,True,False,True,False,False,False,True,False
2026-01-23,False,Stop Loss,79.5,71.55,4,True,False,False,True,False,True,False,True,False,True,False,True,False
2026-01-27,False,Stop Loss,68.95,62.06,0,False,False,False,False,True,True,False,False,True,True,False,False,False
2026-01-28,False,11:15 exit,199.5,195.05,6,True,False,False,True,False,True,False,False,True,False,False,False,False
2026-01-29,False,11:15 exit,174.7,182.45,5,False,False,False,True,False,False,True,False,True,False,False,False,False
2026-01-30,False,Stop Loss,172.75,155.47,4,False,False,True,True,False,False,True,True,False,False,True,False,False
2026-02-03,False,Stop Loss,113.1,101.79,0,True,True,False,False,True,True,False,True,False,True,False,True,False
2026-02-04,False,Stop Loss,152.75,137.47,6,False,False,True,True,False,False,True,False,True,False,True,False,True
2026-02-05,False,Stop Loss,126.1,113.49,5,False,False,False,True,False,False,True,False,True,False,True,False,False
2026-02-10,False,Stop Loss,23.2,20.88,0,True,False,False,True,False,True,False,True,False,True,False,True,False
2026-02-11,False,11:15 exit,94.0,103.1,6,True,False,False,True,False,False,True,True,False,False,False,False,False
2026-02-12,False,Stop Loss,86.0,77.4,5,False,False,True,True,False,False,True,True,False,False,False,True,False
2026-02-13,False,11:15 exit,71.05,89.25,4,False,False,True,False,True,False,True,False,True,False,True,False,True
2026-02-17,False,Stop Loss,42.45,38.21,0,False,False,True,True,False,False,False,True,False,False,False,False,False
2026-02-18,False,Stop Loss,107.55,96.8,6,False,False,False,True,False,True,False,True,False,True,False,True,False
2026-02-19,True,Target Hit,91.8,146.88,5,True,False,False,True,False,True,False,True,False,True,False,True,False
2026-02-20,False,Stop Loss,109.95,98.95,4,False,False,True,False,True,False,True,False,True,False,True,False,False
2026-02-24,False,Stop Loss,38.2,34.38,0,False,False,True,True,False,False,True,False,True,False,True,False,True
2026-03-04,False,Stop Loss,289.55,260.6,6,False,False,True,False,True,False,True,False,True,False,True,False,True
2026-03-05,False,Stop Loss,211.4,190.26,5,True,True,False,False,True,True,False,True,False,True,False,True,False
2026-03-06,False,11:15 exit,194.75,200.55,4,False,False,True,True,False,False,True,False,True,False,True,False,True
2026-03-10,False,Stop Loss,65.6,59.04,0,True,True,False,False,True,True,False,True,False,False,False,True,False
2026-03-11,False,11:15 exit,218.0,336.05,6,False,False,False,True,False,False,True,True,False,True,False,True,False
2026-03-12,False,Stop Loss,244.6,220.14,5,False,False,True,False,True,False,True,False,True,False,False,True,False
2026-03-13,False,Stop Loss,212.1,190.89,4,False,False,True,False,True,False,True,False,True,False,True,False,True
2026-03-17,False,Stop Loss,60.55,54.49,0,True,False,False,True,False,True,False,True,False,True,False,True,False
2026-03-18,False,Stop Loss,208.75,187.88,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2026-03-19,False,11:15 exit,211.95,298.9,5,False,False,True,True,False,False,True,False,True,False,True,False,True
2026-03-20,False,Stop Loss,210.35,189.31,4,True,False,False,False,True,False,True,False,True,False,False,True,False
2026-03-24,False,Stop Loss,79.5,71.55,0,True,True,False,False,True,True,False,True,False,True,False,True,False
