Date,Quarter,P(win),DTE,Lots,Entry,Exit,PnL(pts),Trade PnL,Capital,DD%,Reason
2025-07-02,2025Q3,0.611,1,21,56.4,90.24,33.84,53014.59,253014.59,0.0,Target Hit
2025-12-17,2025Q4,0.606,6,19,78.7,125.92,47.22,66943.09,319957.68,0.0,Target Hit
