Strategy,Trades,Win%,ROI,MaxDD
"v7  (no gates, threshold=0.58)",10,40.0%,+8.4%,21.0%
v8  L1 walk-forward (no gates),7,28.6%,-19.5%,24.8%
"v10 no gates   (v7 model, reloaded)",11,18.2%,+10.4%,30.4%
v10 gap_norm gate only,4,50.0%,+41.7%,19.3%
v10 VIX pct gate only,5,40.0%,+57.4%,12.9%
v10 ALL THREE gates (fixed sizing),2,100.0%,+75.6%,0.0%
v10 ALL THREE gates + Kelly sizing,2,100.0%,+60.0%,0.0%
