Date,Quarter,P(win),DTE,Lots,Entry,Exit,PnL(pts),Trade PnL,Capital,DD%,Reason
2025-07-02,2025Q3,0.611,1,25,56.4,90.24,33.84,63121.6,263121.6,0.0,Target Hit
2025-12-17,2025Q4,0.606,6,25,78.7,125.92,47.22,88097.92,351219.52,0.0,Target Hit
2026-03-05,2026Q1,0.75,5,22,211.4,190.26,-21.14,-35550.13,315669.39,10.12,Stop Loss
2026-03-20,2026Q1,0.912,4,20,210.35,189.31,-21.04,-32169.77,283499.62,19.28,Stop Loss
