date,combo,p_down,gap_pct,nifty_spot_925,expiry,dte,atm,strike,opt_type,entry_premium,exit_premium,exit_reason,exit_time,lots,buy_value,sell_value,gross_pnl,charges_total,charges_brok,charges_stt,charges_stamp,charges_exch,charges_sebi,charges_gst,net_pnl,pct_return,capital_after,refilled
2024-08-07,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0124,24271.2,2024-08-08,1,24250,24200,PE,71.15,99.61,TAKE_PROFIT,10:05,25,133406.25,186768.75,53362.5,368.5479,40.0,116.7305,4.0022,169.6927,0.3202,37.8023,52993.95,19.3449,326936.45,0.0
2024-08-09,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0112,24361.5,2024-08-14,5,24350,24300,PE,127.45,136.5,HARD_EXIT_1115,11:15,25,238968.75,255937.5,16968.75,524.4284,40.0,159.9609,7.1691,262.3003,0.4949,54.5031,16444.32,5.0298,343380.77,0.0
2024-08-14,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0019,24146.7,2024-08-14,0,24150,24100,PE,42.5,36.12,STOP_LOSS,09:41,10,31875.0,27090.0,-4785.0,102.0338,40.0,16.9312,0.9563,31.2514,0.059,12.8359,-4887.03,-1.4232,338493.74,0.0
2024-08-16,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0079,24392.2,2024-08-22,6,24400,24350,PE,119.35,167.09,TAKE_PROFIT,09:51,25,223781.25,313293.75,89512.5,586.2425,40.0,195.8086,6.7134,284.6497,0.5371,58.5336,88926.26,26.2712,427420.0,0.0
2024-08-20,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0031,24618.5,2024-08-22,2,24600,24550,PE,69.15,58.78,STOP_LOSS,09:37,25,129656.25,110212.5,-19443.75,270.2695,40.0,68.8828,3.8897,127.1304,0.2399,30.1267,-19714.02,-4.6123,407705.98,0.0
2024-08-22,Gap Up + SGX UP + DAX UP,68.2,0.0038,24809.3,2024-08-22,0,24800,24750,PE,30.65,26.05,STOP_LOSS,09:26,10,22987.5,19537.5,-3450.0,86.7459,40.0,12.2109,0.6896,22.5382,0.0425,11.2645,-3536.75,-0.8675,404169.23,0.0
2024-08-30,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0039,25238.5,2024-09-05,6,25250,25200,PE,107.8,98.25,HARD_EXIT_1115,11:15,25,202125.0,184218.75,-17906.25,410.4757,40.0,115.1367,6.0637,204.7622,0.3863,44.1267,-18316.73,-4.5319,385852.51,0.0
2024-09-10,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0025,25006.3,2024-09-12,2,25000,24950,PE,77.3,108.22,TAKE_PROFIT,09:46,25,144937.5,202912.5,57975.0,396.3243,40.0,126.8203,4.3481,184.3605,0.3478,40.4475,57578.68,14.9225,443431.18,0.0
2024-09-12,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0057,25044.5,2024-09-12,0,25050,25000,PE,35.85,30.47,STOP_LOSS,09:26,10,26887.5,22852.5,-4035.0,93.4555,40.0,14.2828,0.8066,26.3622,0.0497,11.9541,-4128.46,-0.931,439302.73,0.0
2024-09-13,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0016,25326.0,2024-09-19,6,25350,25300,PE,130.45,110.88,STOP_LOSS,10:53,25,244593.75,207900.0,-36693.75,467.9988,40.0,129.9375,7.3378,239.8217,0.4525,50.4494,-37161.75,-8.4593,402140.98,0.0
