S1,S2,S3,N,P_down,edge
Gap Up (>0.15%),US (SP500) DOWN,SGX UP,26,57.692307692307686,3.159154782970738
Prev India DOWN,US (SP500) UP,VIX Falling >3%,78,57.692307692307686,3.159154782970738
Prev India UP,US (SP500) DOWN,SGX UP,54,57.407407407407405,2.8742544980704565
US (SP500) DOWN,SGX DOWN,Europe (DAX) UP,74,56.75675675675676,2.2236038474198097
Gap Up (>0.15%),Gap Up Strong (>0.5%),Prev India UP,37,56.75675675675676,2.2236038474198097
Prev India DOWN,SGX UP,VIX Rising >3%,23,56.52173913043478,1.9885862210978331
Gap Up Strong (>0.5%),Prev India DOWN,VIX Falling >3%,16,56.25,1.7168470906630517
Gap Up (>0.15%),US (SP500) DOWN,SGX DOWN,48,56.25,1.7168470906630517
US (SP500) DOWN,SGX DOWN,VIX Spike >10%,57,56.14035087719298,1.607197967856031
SGX DOWN,VIX Rising >3%,VIX Spike >10%,57,56.14035087719298,1.607197967856031
US (SP500) DOWN,VIX Rising >3%,VIX Spike >10%,63,55.55555555555556,1.0224026462186089
Gap Up (>0.15%),Gap Up Strong (>0.5%),Prev India DOWN,27,55.55555555555556,1.0224026462186089
US (SP500) DOWN,SGX UP,Europe (DAX) UP,40,55.00000000000001,0.46684709066305885
Gap Up (>0.15%),SGX DOWN,Europe (DAX) UP,39,53.84615384615385,-0.6869990631831016
Prev India UP,US (SP500) DOWN,VIX Rising >3%,78,53.84615384615385,-0.6869990631831016
Prev India DOWN,VIX Rising >3%,VIX Spike >10%,39,53.84615384615385,-0.6869990631831016
US (SP500) UP,SGX DOWN,VIX Falling >3%,26,53.84615384615385,-0.6869990631831016
Prev India DOWN,US (SP500) DOWN,VIX Spike >10%,39,53.84615384615385,-0.6869990631831016
Gap Up (>0.15%),Prev India DOWN,VIX Rising >3%,15,53.333333333333336,-1.1998195760036126
Gap Down,US (SP500) DOWN,SGX UP,17,52.94117647058824,-1.5919764387487092
Prev India UP,US (SP500) DOWN,SGX DOWN,102,52.94117647058824,-1.5919764387487092
Prev India DOWN,SGX DOWN,VIX Spike >10%,38,52.63157894736842,-1.9015739619685306
Prev India DOWN,US (SP500) DOWN,VIX Rising >3%,97,51.546391752577314,-2.986761156759634
Gap Down,US (SP500) DOWN,Europe (DAX) UP,33,51.515151515151516,-3.0180013941854327
Prev India UP,SGX DOWN,VIX Rising >3%,63,50.79365079365079,-3.7395021156861574
Gap Down,Prev India DOWN,US (SP500) DOWN,75,50.66666666666667,-3.866486242670277
US (SP500) UP,SGX DOWN,Europe (DAX) UP,46,50.0,-4.533152909336948
SGX DOWN,Europe (DAX) UP,VIX Falling >3%,20,50.0,-4.533152909336948
Gap Down,SGX DOWN,Europe (DAX) UP,30,50.0,-4.533152909336948
Gap Down,SGX DOWN,VIX Spike >10%,36,50.0,-4.533152909336948
US (SP500) DOWN,SGX DOWN,VIX Rising >3%,143,49.65034965034965,-4.882803258987295
Prev India DOWN,US (SP500) DOWN,SGX DOWN,125,49.6,-4.933152909336947
Gap Down,Prev India UP,US (SP500) DOWN,39,48.717948717948715,-5.815204191388233
Gap Down,Prev India UP,SGX DOWN,35,48.57142857142857,-5.961724337908379
Gap Down,US (SP500) DOWN,SGX DOWN,97,48.45360824742268,-6.0795446619142695
Prev India DOWN,SGX DOWN,VIX Rising >3%,85,48.23529411764706,-6.29785879168989
Gap Down,SGX DOWN,VIX Rising >3%,75,48.0,-6.533152909336948
Prev India DOWN,US (SP500) DOWN,Europe (DAX) UP,48,47.91666666666667,-6.616486242670277
Gap Down,Prev India DOWN,VIX Spike >10%,23,47.82608695652174,-6.707065952815206
Gap Down,VIX Rising >3%,VIX Spike >10%,40,47.5,-7.033152909336948
Gap Down,US (SP500) DOWN,VIX Spike >10%,40,47.5,-7.033152909336948
Prev India DOWN,SGX DOWN,VIX Falling >3%,19,47.368421052631575,-7.164731856705373
Prev India DOWN,SGX DOWN,Europe (DAX) UP,55,47.27272727272727,-7.260425636609675
Gap Down,Prev India UP,VIX Spike >10%,17,47.05882352941176,-7.474329379925187
Gap Down,US (SP500) DOWN,VIX Rising >3%,85,47.05882352941176,-7.474329379925187
Gap Down,Prev India UP,VIX Rising >3%,30,46.666666666666664,-7.866486242670284
Gap Down,Prev India DOWN,VIX Rising >3%,59,45.76271186440678,-8.770441044930166
Gap Down,Europe (DAX) UP,VIX Rising >3%,22,45.45454545454545,-9.078607454791495
