india_date,india_open,ret_30,ret_60,dir_30,dir_60,gap_pct,gap_dir,prev_india_ret,SP500_ret,SP500_dir,SP500_level,NASDAQ_ret,NASDAQ_dir,NASDAQ_level,DOW_ret,DOW_dir,DOW_level,NIKKEI_ret,NIKKEI_dir,NIKKEI_level,DAX_ret,DAX_dir,DAX_level,HANGSENG_ret,HANGSENG_dir,HANGSENG_level,FTSE_ret,FTSE_dir,FTSE_level,SGX_ret,SGX_dir,SGX_level,VIX_US_ret,VIX_US_dir,VIX_US_level,VIX_EU_ret,VIX_EU_dir,VIX_EU_level,VIX_US_spike,VIX_EU_spike,VIX_INDIA_level,VIX_INDIA_ret,VIX_INDIA_spike,composite,sentiment
2023-03-28,17031.75,-0.0026744168978524974,-0.002304519500344944,-1.0,-1.0,0.0027111501656149626,1.0,0.0023988383407489433,0.0016469543057482383,1.0,3977.530029296875,-0.0046617307035543565,-1.0,11768.83984375,0.006034915996768309,1.0,32432.080078125,0.003345565244976756,1.0,27476.869140625,0.01139577404427361,1.0,15127.6796875,-0.017473178914070187,-1.0,19567.689453125,0.008952778973398079,1.0,7471.7998046875,0.007726269315673218,1.0,27390.0,-0.052437874960925224,-1.0,20.600000381469727,,,,0.0,0.0,15.449999809265137,0.013779530269085072,0.0,-0.012384649735891736,Bearish
2023-03-29,16977.3,0.0022323926655004895,0.0023060203919351993,1.0,1.0,0.001510219177419256,1.0,-0.002001683861354908,-0.0015738434957162095,-1.0,3971.27001953125,-0.004483004809774704,-1.0,11716.080078125,-0.0011664400813599096,-1.0,32394.25,0.0015060252739573787,1.0,27518.25,0.0009479209003777633,1.0,15142.01953125,0.011087713652638165,1.0,19784.650390625,0.001672957028661104,1.0,7484.2998046875,-0.0034684191310697665,-1.0,27295.0,-0.030582575555772262,-1.0,19.969999313354492,,,,0.0,0.0,15.100000381469728,-0.022653684926618456,0.0,0.01140509721760011,Bullish
2023-03-31,17210.35,0.003945300357052673,0.00270476777055684,1.0,1.0,0.007590484416918774,1.0,0.007609856589321451,0.005715269388667954,1.0,4050.830078125,0.007314081426607499,1.0,12013.4697265625,0.004322800031591356,1.0,32859.03125,-0.0036167840916134786,-1.0,27782.9296875,0.012631149624019011,1.0,15522.400390625,0.0057809109611453025,1.0,20309.130859375,0.0074164296900931515,1.0,7620.39990234375,0.005025125628140614,1.0,28000.0,-0.005230145244791484,-1.0,19.020000457763672,,,,0.0,0.0,,,,-0.0198497894774525,Bearish
2023-04-03,17427.95,-0.0040079297909393925,-0.0034456146592111675,-1.0,-1.0,0.00392862800443559,1.0,0.016337198944623932,0.014436542471763847,1.0,4109.31005859375,0.017350560198826193,1.0,12221.91015625,0.012633275288661983,1.0,33274.1484375,0.009306102133869842,1.0,28041.48046875,0.006857151629028113,1.0,15628.83984375,0.0044796853324229335,1.0,20400.109375,0.001482900256359887,1.0,7631.7001953125,0.009642857142857064,1.0,28270.0,-0.01682437892337696,-1.0,18.700000762939453,,,,0.0,0.0,12.9399995803833,-0.050623663115495154,0.0,-0.0187976107567704,Bearish
2023-04-05,17422.3,0.0020462281099511235,0.003980530699161545,1.0,1.0,0.0013937893994500133,0.0,0.002206297973761151,-0.005796972083329965,-1.0,4100.60009765625,-0.00517825793420712,-1.0,12126.330078125,-0.005915557666718474,-1.0,33402.37890625,0.003521675948025882,1.0,28287.419921875,0.0014472704307941786,1.0,15603.4697265625,-0.00659457390305751,-1.0,20274.58984375,-0.0050175941613449515,-1.0,7634.5,-0.004067916519278403,-1.0,28155.0,0.02425880223436394,1.0,19.0,,,,0.0,0.0,,,,0.012609806653569483,Bullish
2023-04-06,17533.85,-3.707115094504728e-05,0.003116828306390294,-1.0,1.0,-0.0013214509395153462,0.0,0.009138954817361267,-0.002492370531228194,-1.0,4090.3798828125,-0.010676744384193637,-1.0,11996.8603515625,0.0024052132327307962,1.0,33482.71875,-0.016762227080431846,-1.0,27813.259765625,-0.00533854367953146,-1.0,15520.169921875,,,,0.003719942673881649,1.0,7662.89990234375,-0.014029479666133882,-1.0,27760.0,0.004210522300318598,1.0,19.079999923706055,,,,0.0,0.0,12.40999984741211,-0.014297085225911,0.0,0.01156577289323656,Bullish
2023-04-10,17634.9,0.0009072917907104661,-0.0002778581109051628,1.0,-1.0,0.002031325864119278,1.0,0.002397874785437182,,,,,,,,,,0.0016627343676629547,1.0,27518.310546875,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,-0.0002800536558254052,Neutral
2023-04-11,17704.8,-4.518548642172023e-05,0.002075708282499661,-1.0,1.0,0.004581762714614243,1.0,0.0014148632219350699,0.0009963029974375814,1.0,4109.10986328125,-0.00029778468712937656,-1.0,12084.3603515625,0.0030231325929739317,1.0,33586.51953125,0.004191740229783081,1.0,27633.66015625,,,,,,,,,,0.008124210146235766,1.0,27920.0,0.03097824492616752,1.0,18.969999313354492,,,,0.0,0.0,12.270000457763672,0.039830530460316815,0.0,-0.010690155748013493,Neutral
2023-04-12,17759.55,0.0002364924786946025,-0.0004504618641801172,1.0,-1.0,0.0021018274776945746,1.0,0.005574768321964241,-4.1352477946232646e-05,-1.0,4108.93994140625,-0.004342842088717935,-1.0,12031.8798828125,0.0029258622989669636,1.0,33684.7890625,0.010483916453227327,1.0,27923.369140625,0.0036723091859569568,1.0,15655.169921875,0.007576582864966319,1.0,20485.240234375,0.005696509390817228,1.0,7785.7001953125,0.005909742120343786,1.0,28085.0,0.0068529822256617745,1.0,19.100000381469727,,,,0.0,0.0,11.979999542236328,-0.023634955558933912,0.0,-0.0036617520015531932,Neutral
2023-04-13,17807.3,-0.0004773323299994946,-0.0008367354961166386,-1.0,-1.0,-0.0002863393205379079,0.0,0.005083967961446945,-0.004134884052006904,-1.0,4091.949951171875,-0.008522362262689986,-1.0,11929.33984375,-0.00113668702003622,-1.0,33646.5,0.005705976142155178,1.0,28082.69921875,0.0030935267864662386,1.0,15703.599609375,-0.00856132793017994,-1.0,20309.859375,0.005021977265261324,1.0,7824.7998046875,-0.0033825885704112935,-1.0,27990.0,-0.000523572182309362,-1.0,19.09000015258789,,,,0.0,0.0,12.270000457763672,0.02420708903242641,0.0,0.011650076727557173,Bullish
2023-04-17,17863.0,-0.012674242848345825,-0.014146559928343544,-1.0,-1.0,0.0019632039488445144,1.0,0.0008757724412713497,-0.0020693734728036706,-1.0,4137.64013671875,-0.003517906995037845,-1.0,12123.4697265625,-0.00420875565811607,-1.0,33886.46875,0.011950859470925002,1.0,28493.470703125,0.0049613934144150384,1.0,15807.5,0.004636642271101277,1.0,20438.810546875,0.003633628318694182,1.0,7871.89990234375,0.0031645569620253333,1.0,28530.0,-0.04101121199580893,-1.0,17.06999969482422,,,,0.0,0.0,,,,0.0031339861420150578,Neutral
2023-04-18,17766.6,-0.0025778708362882755,-0.005417468733466167,-1.0,-1.0,0.003374422437821087,1.0,-0.006795512150830185,0.00330615690296554,1.0,4151.31982421875,0.0028250988184479464,1.0,12157.7197265625,0.0029720103986934365,1.0,33987.1796875,0.0007478412851846805,1.0,28514.779296875,-0.0011367848529179048,-1.0,15789.5302734375,0.016813046487557992,1.0,20782.44921875,0.0009654718366003401,1.0,7879.5,0.003329828250963951,1.0,28625.0,-0.007029814530175482,-1.0,16.950000762939453,,,,0.0,0.0,12.270000457763672,0.03022675188612922,0.0,-0.011590809654405463,Neutral
2023-04-19,17653.35,-0.0010139718523678406,-0.0013821739216634701,-1.0,-1.0,-0.0003850698026111649,0.0,-0.0026373533282438855,0.0008552202959737354,1.0,4154.8701171875,-0.00035447192478732514,-1.0,12153.41015625,-0.0003104341503770147,-1.0,33976.62890625,0.005051793659359927,1.0,28658.830078125,0.005898823259751218,1.0,15882.669921875,-0.006348599808244093,-1.0,20650.509765625,0.003794644627673094,1.0,7909.39990234375,0.002270742358078559,1.0,28690.0,-0.007079695211328563,-1.0,16.829999923706055,,,,0.0,0.0,12.079999923706056,-0.015484965523159033,0.0,-0.005435053526128323,Neutral
2023-04-20,17638.6,0.0019219212409148944,-0.0005896159559147449,1.0,-1.0,0.0011266406527136457,0.0,-0.002344283016240789,-8.42619976980652e-05,-1.0,4154.52001953125,0.00031434078590986125,1.0,12157.23046875,-0.0023432927298256967,-1.0,33897.01171875,-0.0018169029356067679,-1.0,28606.759765625,0.0007889273969134969,1.0,15895.2001953125,-0.013692155942351958,-1.0,20367.759765625,-0.001340189873710762,-1.0,7898.7998046875,-0.003834088532589708,-1.0,28580.0,-0.02198460136130065,-1.0,16.459999084472656,,,,0.0,0.0,12.149999618530272,0.005794676760456419,0.0,0.005321766001398965,Neutral
2023-04-21,17639.75,-0.0010175881177454742,-0.0012528522229622611,-1.0,-1.0,0.0008681565625166921,0.0,0.0003234746363958152,-0.00595254815297297,-1.0,4129.7900390625,-0.008033976051417424,-1.0,12059.5595703125,-0.003256647692602921,-1.0,33786.62109375,0.0017761727399849825,1.0,28657.5703125,-0.006242794524806472,-1.0,15795.9697265625,0.0014341752768165517,1.0,20396.970703125,0.0004811228367245235,1.0,7902.60009765625,0.0017494751574527179,1.0,28630.0,0.043134935073663616,1.0,17.170000076293945,,,,0.0,0.0,11.9399995803833,-0.01728395429961116,0.0,0.009996626621836273,Bullish
2023-04-24,17707.55,-0.004548907104596586,-0.0042015976236124035,-1.0,-1.0,0.004737799486984741,1.0,-2.260708945023282e-05,0.0009031888869577287,1.0,4133.52001953125,0.001069723197583139,1.0,12072.4599609375,0.0006612038442084245,1.0,33808.9609375,-0.0032522356521741402,-1.0,28564.369140625,0.005424828685471672,1.0,15881.66015625,-0.015749409020123895,-1.0,20075.73046875,0.0014552172522825924,1.0,7914.10009765625,0.002619629758993991,1.0,28705.0,-0.023296424971048224,-1.0,16.770000457763672,,,,0.0,0.0,11.630000114440918,-0.02596310526272494,0.0,-0.01848062215564392,Bearish
2023-04-25,17761.55,-0.001190774453805992,-0.00043352072313512774,-1.0,-1.0,0.0010228935252224202,0.0,0.006771973756565242,0.0008515791660903549,1.0,4137.0400390625,-0.0029206777855622645,-1.0,12037.2001953125,0.0019650855322888017,1.0,33875.3984375,0.001020515821003709,1.0,28593.51953125,-0.0011151202558965512,-1.0,15863.9501953125,-0.005767711207581794,-1.0,19959.939453125,-0.0002400654932722679,-1.0,7912.2001953125,0.001219299773558724,1.0,28740.0,0.0071555711752655515,1.0,16.889999389648438,,,,0.0,0.0,11.670000076293944,0.0034393775975425367,0.0,-0.005394159955363439,Neutral
2023-04-26,17767.3,-0.0018939287342476245,-0.0008864599573373557,-1.0,-1.0,-0.00010974014097391435,0.0,0.0014568576938982503,-0.015810858882773227,-1.0,4071.6298828125,-0.01977536596551721,-1.0,11799.16015625,-0.010171697703740157,-1.0,33530.828125,0.0009285593968584305,1.0,28620.0703125,0.000515614799548203,1.0,15872.1298828125,-0.017137256080025143,-1.0,19617.880859375,-0.0026667800530060237,-1.0,7891.10009765625,-0.011830201809325036,-1.0,28400.0,0.11071645392595375,1.0,18.760000228881836,,,,1.0,0.0,11.520000457763672,-0.012853437664921308,0.0,0.012294411731998417,Bullish
2023-04-27,17813.1,0.001162066119878108,0.001105927659980617,1.0,1.0,-2.8046514233906947e-05,0.0,0.0024958627615121465,-0.003841187197329843,-1.0,4055.989990234375,0.00467740520462101,1.0,11854.349609375,-0.006828254595933836,-1.0,33301.87109375,-0.0071138752334258815,-1.0,28416.470703125,-0.00481343175910065,-1.0,15795.73046875,0.00710518495214485,1.0,19757.26953125,-0.004878914159438308,-1.0,7852.60009765625,-0.0019366197183098288,-1.0,28345.0,0.004264388205224678,1.0,18.84000015258789,,,,0.0,0.0,11.649999618530272,0.011284648923689078,0.0,0.012118630208930134,Bullish
2023-04-28,17950.4,-0.0021531553614404946,-0.003409394776718108,-1.0,-1.0,0.0019731576081826216,1.0,0.005695152810193838,0.01956614972249704,1.0,4135.35009765625,0.02428565332444066,1.0,12142.240234375,0.01574353167796616,1.0,33826.16015625,0.0014501795386738792,1.0,28457.6796875,0.0002987976131800796,1.0,15800.4501953125,0.004201479637340855,1.0,19840.279296875,-0.0026742734557777537,-1.0,7831.60009765625,0.013935438348915197,1.0,28740.0,-0.09607215771140842,-1.0,17.030000686645508,,,,0.0,0.0,11.43000030517578,-0.01888406185048841,0.0,-0.01903633965213466,Bearish
2023-05-02,18124.8,0.0020165739759886604,0.0021986449505650924,1.0,1.0,0.0033102684749515233,1.0,0.008370013603697934,-0.0003861064902076494,-1.0,4167.8701171875,-0.0011434488352971561,-1.0,12212.599609375,-0.0013625643520676078,-1.0,34051.69921875,0.009243698787173571,1.0,29123.1796875,,,,,,,,,,0.009455045556128638,1.0,29360.0,0.01901141925294425,1.0,16.079999923706055,,,,0.0,0.0,,,,0.00878562203944487,Bullish
2023-05-03,18113.8,-0.0019267078139317989,-0.0016699974604997296,-1.0,-1.0,-0.001865276765662606,-1.0,0.004575166931912511,-0.011586262936400304,-1.0,4119.580078125,-0.010815866234458515,-1.0,12080.509765625,-0.01078266216294499,-1.0,33684.53125,0.0011938782654603575,1.0,29157.94921875,-0.012274512639656843,-1.0,15726.9404296875,0.001972409243256923,1.0,19933.810546875,-0.012400591625194357,-1.0,7773.0,-0.017711171662125325,-1.0,28840.0,0.10572144098292036,1.0,17.780000686645508,,,,1.0,0.0,11.899999618530272,0.08675797496008264,1.0,0.0192096582078859,Bullish
2023-05-04,18081.0,0.0017062109396603366,0.0025496377412752916,1.0,1.0,-0.0004892030373991457,0.0,-0.00318502836487633,-0.006998305064656485,-1.0,4090.75,-0.004567662174075893,-1.0,12025.330078125,-0.008024246107031674,-1.0,33414.23828125,,,,0.005603069523850923,1.0,15815.0595703125,-0.011771476912214696,-1.0,19699.16015625,0.0019812044697993247,1.0,7788.39990234375,-0.0038141470180305115,-1.0,28730.0,0.031496031738794894,1.0,18.34000015258789,,,,0.0,0.0,11.84000015258789,-0.005041972089558033,0.0,0.011810967071812943,Bullish
2023-05-05,18117.3,0.003308991957962871,0.004556418450872883,1.0,1.0,-0.007586672472469728,-1.0,0.009173717607303677,-0.007218732334382416,-1.0,4061.219970703125,-0.004900463198694083,-1.0,11966.400390625,-0.008574189170152846,-1.0,33127.73828125,,,,-0.0051102770481631365,-1.0,15734.240234375,0.012669083885833432,1.0,19948.73046875,-0.01101635840009707,-1.0,7702.60009765625,-0.0031326139923425478,-1.0,28640.0,0.09541984653435587,1.0,20.09000015258789,,,,1.0,0.0,11.729999542236328,-0.0092905919707712,0.0,0.018830318685563674,Bullish
2023-05-08,18120.6,0.003931989006986524,0.004036842047172912,1.0,1.0,0.00285571974099278,1.0,-0.010232406865540389,0.018474751389515376,1.0,4136.25,0.02248042492676028,1.0,12235.41015625,0.016500994434304417,1.0,33674.37890625,,,,0.0144131075601317,1.0,15961.01953125,0.005041928772488102,1.0,20049.310546875,0.009840807484029268,1.0,7778.39990234375,0.01658519553072635,1.0,29115.0,-0.14435040301165503,-1.0,17.190000534057617,,,,0.0,0.0,12.300000190734863,0.048593407565458824,0.0,-0.019118246050630405,Bearish
2023-05-09,18303.4,0.0005818591081437228,0.0015188434935585339,1.0,1.0,0.0021352800278633677,1.0,0.010814123118324304,0.0004521286642489297,1.0,4138.1201171875,0.0017579930178321934,1.0,12256.919921875,-0.0016537053335129448,-1.0,33618.69140625,-0.007135905128787368,-1.0,28949.880859375,-0.0005130908529349387,-1.0,15952.830078125,0.012355474739185635,1.0,20297.029296875,,,,-0.0017173278378842527,-1.0,29065.0,-0.01221646220459538,-1.0,16.979999542236328,,,,0.0,0.0,12.640000343322754,0.02764228839963767,0.0,0.003705956824204289,Neutral
