india_date,india_open,ret_30,ret_60,dir_30,dir_60,gap_pct,gap_dir,prev_india_ret,SP500_ret,SP500_dir,SP500_level,NASDAQ_ret,NASDAQ_dir,NASDAQ_level,DOW_ret,DOW_dir,DOW_level,NIKKEI_ret,NIKKEI_dir,NIKKEI_level,DAX_ret,DAX_dir,DAX_level,HANGSENG_ret,HANGSENG_dir,HANGSENG_level,FTSE_ret,FTSE_dir,FTSE_level,SGX_ret,SGX_dir,SGX_level,VIX_US_ret,VIX_US_dir,VIX_US_level,VIX_EU_ret,VIX_EU_dir,VIX_EU_level,VIX_US_spike,VIX_EU_spike,VIX_INDIA_level,VIX_INDIA_ret,VIX_INDIA_spike,composite,sentiment,China_ret,HangSeng_ret,Oil_ret,DXY_ret
2023-03-28,17031.75,-0.0026744168978524,-0.0023045195003449,-1.0,-1.0,0.0027111501656149,1.0,0.0023988383407489,0.0016469543057482,1.0,3977.530029296875,-0.0046617307035543,-1.0,11768.83984375,0.0060349159967683,1.0,32432.080078125,0.0033455652449767,1.0,27476.869140625,0.0113957740442736,1.0,15127.6796875,-0.0174731789140701,-1.0,19567.689453125,0.008952778973398,1.0,7471.7998046875,0.0077262693156732,1.0,27390.0,-0.0524378749609252,-1.0,20.600000381469727,,,,0.0,0.0,15.449999809265137,0.013779530269085,0.0,-0.0123846497358917,Bearish,-0.004363603088552992,-0.017473178914070187,0.051256068623570794,-0.0025213550165376075
2023-03-29,16977.3,0.0022323926655004,0.0023060203919351,1.0,1.0,0.0015102191774192,1.0,-0.0020016838613549,-0.0015738434957162,-1.0,3971.27001953125,-0.0044830048097747,-1.0,11716.080078125,-0.0011664400813599,-1.0,32394.25,0.0015060252739573,1.0,27518.25,0.0009479209003777,1.0,15142.01953125,0.0110877136526381,1.0,19784.650390625,0.0016729570286611,1.0,7484.2998046875,-0.0034684191310697,-1.0,27295.0,-0.0305825755557722,-1.0,19.96999931335449,,,,0.0,0.0,15.100000381469728,-0.0226536849266184,0.0,0.0114050972176001,Bullish,-0.0018515161813563719,0.011087713652638165,0.005356398883746616,-0.004180442374336346
2023-03-31,17210.35,0.0039453003570526,0.0027047677705568,1.0,1.0,0.0075904844169187,1.0,0.0076098565893214,0.0057152693886679,1.0,4050.830078125,0.0073140814266074,1.0,12013.4697265625,0.0043228000315913,1.0,32859.03125,-0.0036167840916134,-1.0,27782.9296875,0.012631149624019,1.0,15522.400390625,0.0057809109611453,1.0,20309.130859375,0.0074164296900931,1.0,7620.39990234375,0.0050251256281406,1.0,28000.0,-0.0052301452447914,-1.0,19.020000457763672,,,,0.0,0.0,,,,-0.0198497894774525,Bearish,0.006539984143209665,0.0057809109611453025,0.019185987425770934,-0.004871395196543893
2023-04-03,17427.95,-0.0040079297909393,-0.0034456146592111,-1.0,-1.0,0.0039286280044355,1.0,0.0163371989446239,0.0144365424717638,1.0,4109.31005859375,0.0173505601988261,1.0,12221.91015625,0.0126332752886619,1.0,33274.1484375,0.0093061021338698,1.0,28041.48046875,0.0068571516290281,1.0,15628.83984375,0.0044796853324229,1.0,20400.109375,0.0014829002563598,1.0,7631.7001953125,0.009642857142857,1.0,28270.0,-0.0168243789233769,-1.0,18.700000762939453,,,,0.0,0.0,12.9399995803833,-0.0506236631154951,0.0,-0.0187976107567704,Bearish,0.00356001760732072,0.0044796853324229335,0.01748010453614013,0.0036225058624734796
2023-04-05,17422.3,0.0020462281099511,0.0039805306991615,1.0,1.0,0.00139378939945,0.0,0.0022062979737611,-0.0057969720833299,-1.0,4100.60009765625,-0.0051782579342071,-1.0,12126.330078125,-0.0059155576667184,-1.0,33402.37890625,0.0035216759480258,1.0,28287.419921875,0.0014472704307941,1.0,15603.4697265625,-0.0065945739030575,-1.0,20274.58984375,-0.0050175941613449,-1.0,7634.5,-0.0040679165192784,-1.0,28155.0,0.0242588022343639,1.0,19.0,,,,0.0,0.0,,,,0.0126098066535694,Bullish,0.004902365225320615,-0.00659457390305751,0.003606079608682755,-0.004897639513524288
2023-04-06,17533.85,-3.707115094504728e-05,0.0031168283063902,-1.0,1.0,-0.0013214509395153,0.0,0.0091389548173612,-0.0024923705312281,-1.0,4090.3798828125,-0.0106767443841936,-1.0,11996.8603515625,0.0024052132327307,1.0,33482.71875,-0.0167622270804318,-1.0,27813.259765625,-0.0053385436795314,-1.0,15520.169921875,,,,0.0037199426738816,1.0,7662.89990234375,-0.0140294796661338,-1.0,27760.0,0.0042105223003185,1.0,19.07999992370605,,,,0.0,0.0,12.40999984741211,-0.014297085225911,0.0,0.0115657728932365,Bullish,0.004902365225320615,-0.00659457390305751,-0.001238984949267996,0.002559328138626027
2023-04-10,17634.9,0.0009072917907104,-0.0002778581109051,1.0,-1.0,0.0020313258641192,1.0,0.0023978747854371,,,,,,,,,,0.0016627343676629,1.0,27518.310546875,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,-0.0002800536558254,Neutral,0.004534167734578709,0.002792134165784388,0.0011164413498225834,-0.0002945388291242246
2023-04-11,17704.8,-4.518548642172023e-05,0.0020757082824996,-1.0,1.0,0.0045817627146142,1.0,0.001414863221935,0.0009963029974375,1.0,4109.10986328125,-0.0002977846871293,-1.0,12084.3603515625,0.0030231325929739,1.0,33586.51953125,0.004191740229783,1.0,27633.66015625,,,,,,,,,,0.0081242101462357,1.0,27920.0,0.0309782449261675,1.0,18.96999931335449,,,,0.0,0.0,12.270000457763672,0.0398305304603168,0.0,-0.0106901557480134,Neutral,-0.0036932355513779047,0.002792134165784388,-0.011895899885700834,0.007464173428681553
2023-04-12,17759.55,0.0002364924786946,-0.0004504618641801,1.0,-1.0,0.0021018274776945,1.0,0.0055747683219642,-4.1352477946232646e-05,-1.0,4108.93994140625,-0.0043428420887179,-1.0,12031.8798828125,0.0029258622989669,1.0,33684.7890625,0.0104839164532273,1.0,27923.369140625,0.0036723091859569,1.0,15655.169921875,0.0075765828649663,1.0,20485.240234375,0.0056965093908172,1.0,7785.7001953125,0.0059097421203437,1.0,28085.0,0.0068529822256617,1.0,19.100000381469727,,,,0.0,0.0,11.979999542236328,-0.0236349555589339,0.0,-0.0036617520015531,Neutral,-0.0005399229659827087,0.007576582864966319,0.022447967939319913,-0.0037044733479177916
2023-04-13,17807.3,-0.0004773323299994,-0.0008367354961166,-1.0,-1.0,-0.0002863393205379,0.0,0.0050839679614469,-0.0041348840520069,-1.0,4091.949951171875,-0.0085223622626899,-1.0,11929.33984375,-0.0011366870200362,-1.0,33646.5,0.0057059761421551,1.0,28082.69921875,0.0030935267864662,1.0,15703.599609375,-0.0085613279301799,-1.0,20309.859375,0.0050219772652613,1.0,7824.7998046875,-0.0033825885704112,-1.0,27990.0,-0.0005235721823093,-1.0,19.09000015258789,,,,0.0,0.0,12.270000457763672,0.0242070890324264,0.0,0.0116500767275571,Bullish,0.004107311147939274,-0.00856132793017994,0.02121922461469361,-0.006849285412373285
