date,win,exit_reason,entry_prem,exit_prem,dte,Gap Up,Gap Up Strong,Gap Down,Prev India UP,Prev India DOWN,US UP,US DOWN,SGX UP,SGX DOWN,DAX UP,VIX Rising,VIX Falling,VIX Spike
2024-05-02,False,Stop Loss,37.6,31.96,0,False,False,True,False,True,False,True,False,True,False,False,True,False
2024-05-03,True,Target Hit,108.0,151.2,6,True,True,False,True,False,True,False,False,True,False,False,True,False
2024-05-07,True,Target Hit,105.25,147.35,2,True,False,False,False,True,True,False,True,False,True,False,False,False
2024-05-08,False,Stop Loss,80.7,68.59,1,False,False,True,False,True,True,False,False,True,True,False,True,False
2024-05-09,True,Target Hit,47.95,67.13,0,False,False,True,False,False,False,True,True,False,True,False,True,False
2024-05-10,False,Stop Loss,123.25,104.76,6,True,False,False,False,True,True,False,True,False,True,False,True,False
2024-05-14,False,Stop Loss,106.85,90.82,2,False,False,False,True,False,False,True,True,False,False,True,False,True
2024-05-15,False,Stop Loss,65.85,55.97,1,True,False,False,True,False,True,False,True,False,False,False,True,False
2024-05-16,True,Target Hit,43.9,61.46,0,True,True,False,False,True,True,False,True,False,True,False,True,False
2024-05-17,False,Stop Loss,116.7,99.19,6,False,False,False,True,False,False,True,False,True,False,False,True,False
2024-05-21,False,Stop Loss,103.65,88.1,2,False,False,True,True,False,True,False,True,False,True,False,False,False
2024-05-22,True,Target Hit,71.6,100.24,1,True,False,False,True,False,True,False,False,True,False,False,True,False
2024-05-24,False,11:15 exit,127.25,121.15,6,False,False,True,True,False,False,True,False,True,True,True,False,False
2024-05-28,False,11:15 exit,84.5,79.6,2,True,False,False,False,True,False,False,False,True,True,False,False,False
2024-05-29,True,Target Hit,67.15,94.01,1,False,False,True,False,True,True,False,True,False,False,True,False,True
2024-05-30,True,Target Hit,59.55,83.37,0,False,False,True,False,True,False,True,False,True,False,True,False,True
2024-05-31,False,11:15 exit,353.9,380.55,6,True,False,False,False,True,False,True,True,False,True,False,False,False
2024-06-04,True,Target Hit,386.45,541.03,2,False,False,True,True,False,True,False,False,True,True,False,False,False
2024-06-05,False,Stop Loss,241.6,205.36,1,True,True,False,False,True,True,False,False,True,False,False,False,False
2024-06-06,False,Stop Loss,105.65,89.8,0,True,True,False,True,False,True,False,True,False,True,False,True,False
2024-06-11,False,Stop Loss,127.85,108.67,2,False,False,False,False,True,True,False,True,False,False,True,False,False
2024-06-12,False,Stop Loss,86.15,73.23,1,True,False,False,True,False,True,False,False,True,False,False,False,False
2024-06-13,False,Stop Loss,51.1,43.44,0,True,True,False,True,False,True,False,True,False,True,False,True,False
2024-06-14,False,Stop Loss,111.0,94.35,6,True,False,False,True,False,True,False,False,True,False,False,True,False
2024-06-18,False,Stop Loss,64.0,54.4,2,True,False,False,True,False,True,False,True,False,True,False,False,False
2024-06-19,True,Target Hit,56.55,79.17,1,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-06-20,False,Stop Loss,60.75,51.64,0,True,False,False,False,True,False,False,False,True,False,False,False,False
2024-06-21,False,11:15 exit,116.75,134.85,6,True,False,False,True,False,False,True,False,True,True,True,False,True
2024-06-25,False,Stop Loss,92.35,78.5,2,True,False,False,True,False,False,True,True,False,True,False,False,False
2024-06-26,False,Stop Loss,73.9,62.82,1,False,False,False,True,False,True,False,True,False,False,False,True,False
2024-06-27,False,Stop Loss,51.55,43.82,0,False,False,False,True,False,True,False,False,True,False,False,True,False
2024-06-28,False,Stop Loss,134.6,114.41,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-07-02,True,Target Hit,100.9,141.26,2,True,False,False,True,False,True,False,False,True,True,False,True,False
2024-07-03,False,Stop Loss,69.4,58.99,1,True,True,False,False,True,True,False,True,False,False,False,True,False
2024-07-04,False,Stop Loss,38.0,32.3,0,True,False,False,True,False,True,False,True,False,True,False,False,False
2024-07-05,False,Stop Loss,103.7,88.14,6,False,False,True,True,False,False,False,True,False,True,False,False,False
2024-07-09,False,Stop Loss,67.15,57.08,2,False,False,False,False,True,True,False,True,False,False,False,True,False
